chromosome	start	end	gene
1	11869	14409	DDX11L1
1	14363	29370	WASH7P
1	29554	31097	MIR1302-10
1	34554	36081	FAM138A
1	69091	70008	OR4F5
1	131025	134836	CICP27
1	134901	139379	AL627309.1
1	141474	149707	RP11-34P13.13
1	324756	328453	RP4-669L17.10
1	367640	368634	OR4F29
1	562757	564390	RP5-857K21.5
1	566454	567996	hsa-mir-6723
1	569756	570302	RP5-857K21.11
1	621059	622053	OR4F16
1	677193	685396	RP11-206L10.3
1	700237	714006	RP11-206L10.2
1	721180	723052	RP11-206L10.9
1	738532	739137	AL669831.1
1	752751	755214	FAM87B
1	761586	762902	LINC00115
1	762988	794826	LINC01128
1	803620	805581	FAM41C
1	818043	819983	AL645608.2
1	846815	850328	RP11-54O7.1
1	861118	879955	SAMD11
1	861264	866445	AL645608.1
1	879584	894670	NOC2L
1	895967	901095	KLHL17
1	901877	910488	PLEKHN1
1	910579	917497	C1orf170
1	934342	935552	HES4
1	948803	949920	ISG15
1	955503	991496	AGRN
1	998459	1004735	RP11-465B22.3
1	1006346	1009687	RNF223
1	1017203	1051478	C1orf159
1	1072397	1079436	RP11-465B22.5
1	1102484	1102578	MIR200B
1	1103243	1103332	MIR200A
1	1104385	1104467	MIR429
1	1108436	1114935	TTLL10-AS1
1	1109283	1133315	TTLL10
1	1138888	1141951	TNFRSF18
1	1146706	1149512	TNFRSF4
1	1152288	1167381	SDF4
1	1167629	1170421	B3GALT6
1	1177833	1182102	FAM132A
1	1190558	1209213	UBE2J2
1	1215816	1227399	SCNN1D
1	1227756	1243398	ACAP3
1	1243947	1247057	PUSL1
1	1246986	1259989	CPSF3L
1	1260147	1264277	GLTPD1
1	1266694	1270686	TAS1R3
1	1270656	1284492	DVL1
1	1288071	1293915	MXRA8
1	1309110	1310537	AURKAIP1
1	1321875	1334692	CCNL2
1	1334902	1336467	RP4-758J18.2
1	1337288	1342693	MRPL20
1	1353804	1356650	ANKRD65
1	1361508	1363167	TMEM88B
1	1371051	1378262	VWA1
1	1385069	1405538	ATAD3C
1	1407149	1431582	ATAD3B
1	1447555	1470065	ATAD3A
1	1470554	1475737	TMEM240
1	1477053	1510249	SSU72
1	1510355	1511373	AL645728.1
1	1533392	1535476	C1orf233
1	1550823	1565985	MIB2
1	1567474	1570030	MMP23B
1	1571100	1588935	CDK11B
1	1592939	1624083	SLC35E2B
1	1634320	1655763	CDK11A
1	1663681	1677431	SLC35E2
1	1682678	1709909	NADK
1	1716729	1822495	GNB1
1	1846266	1848733	CALML6
1	1849030	1850712	TMEM52
1	1853726	1887154	C1orf222
1	1950780	1962192	GABRD
1	1981909	2116834	PRKCZ
1	2120987	2126213	C1orf86
1	2121237	2123179	AL590822.2
1	2143360	2145620	AL590822.1
1	2160134	2241558	SKI
1	2252692	2323146	MORN1
1	2258581	2259042	AL589739.1
1	2281853	2284259	RP4-740C4.6
1	2323272	2336883	RER1
1	2336236	2343969	PEX10
1	2398898	2436965	PLCH2
1	2439972	2458039	PANK4
1	2460184	2461684	HES5
1	2481722	2485589	RP3-395M20.8
1	2487805	2495268	TNFRSF14
1	2512999	2515972	RP3-395M20.9
1	2518214	2522907	FAM213B
1	2522082	2564429	MMEL1
1	2572807	2706236	TTC34
1	2938046	2939465	ACTRT2
1	2976179	2980350	LINC00982
1	2985775	3355185	PRDM16
1	3370990	3397677	ARHGEF16
1	3406490	3528059	MEGF6
1	3477259	3477354	MIR551A
1	3541566	3546691	TPRG1L
1	3547331	3566637	WRAP73
1	3569084	3652765	TP73
1	3652548	3663886	TP73-AS1
1	3668962	3688208	CCDC27
1	3689352	3692546	SMIM1
1	3696784	3713068	LRRC47
1	3728645	3773763	CEP104
1	3773845	3801993	DFFB
1	3805689	3816849	C1orf174
1	3816968	3833789	LINC01134
1	4000677	4015322	RP13-614K11.1
1	4472111	4484747	RP5-1166F10.1
1	4715105	4852594	AJAP1
1	5624131	5624203	MIR4417
1	5922732	5922801	MIR4689
1	5922878	6052531	NPHP4
1	6105981	6161239	KCNAB2
1	6100630	6101399	AL035406.1
1	6161853	6240183	CHD5
1	6245080	6259672	RPL22
1	6266236	6281359	RNF207
1	6281253	6296000	ICMT
1	6297831	6299504	LINC00337
1	6304252	6305638	HES3
1	6307406	6321035	GPR153
1	6324333	6445873	ACOT7
1	6475292	6479979	HES2
1	6484848	6521004	ESPN
1	6489894	6489956	MIR4252
1	6521211	6526235	TNFRSF25
1	6527565	6557156	PLEKHG5
1	6581407	6614595	NOL9
1	6615241	6639817	TAS1R1
1	6640108	6649340	ZBTB48
1	6650784	6662929	KLHL21
1	6673745	6684093	PHF13
1	6684926	6693625	THAP3
1	6694228	6761984	DNAJC11
1	6784697	6787468	RP11-242F24.1
1	6845384	7829766	CAMTA1
1	7831329	7841492	VAMP3
1	7844763	7905237	PER3
1	7907826	7913491	UTS2
1	7979907	8000926	TNFRSF9
1	8021752	8045565	PARK7
1	8071779	8086368	ERRFI1
1	8377886	8404225	SLC45A1
1	8412457	8877524	RERE
1	8921061	8938749	ENO1
1	8938894	8939953	ENO1-AS1
1	9005946	9034503	CA6
1	9063359	9086404	SLC2A7
1	9095166	9129775	SLC2A5
1	9160364	9189229	GPR157
1	9211727	9211836	MIR34A
1	9294834	9331396	H6PD
1	9352939	9429591	SPSB1
1	9599541	9645237	SLC25A33
1	9648980	9674907	TMEM201
1	9711803	9788977	PIK3CD
1	9712668	9714644	C1orf200
1	9732484	9747613	RP11-558F24.4
1	9789084	9884584	CLSTN1
1	9908334	9970321	CTNNBIP1
1	9988997	10003387	LZIC
1	10003486	10045556	NMNAT1
1	10027439	10027516	MIR5697
1	10057274	10076078	RBP7
1	10093654	10241297	UBE4B
1	10270863	10437995	KIF1B
1	10287776	10287861	MIR1273D
1	10459137	10480201	PGD
1	10490159	10512210	APITD1
1	10490159	10512210	APITD1-CORT
1	10509776	10511959	CORT
1	10516579	10532583	DFFA
1	10534944	10690815	PEX14
1	10696661	10856705	CASZ1
1	11006530	11042094	C1orf127
1	11072699	11084100	TARDBP
1	11086580	11107280	MASP2
1	11114646	11120081	SRM
1	11126675	11159938	EXOSC10
1	11159732	11162108	RP4-635E18.6
1	11166592	11322564	MTOR
1	11203955	11209594	MTOR-AS1
1	11249398	11256038	ANGPTL7
1	11333263	11348491	UBIAD1
1	11539295	11597641	PTCHD2
1	11669588	11673412	RP1-69M21.2
1	11708424	11714739	FBXO2
1	11714914	11723384	FBXO44
1	11724181	11734411	FBXO6
1	11734537	11751707	MAD2L2
1	11751786	11785914	DRAXIN
1	11796212	11810822	AGTRAP
1	11821844	11849641	C1orf167
1	11845780	11863302	MTHFR
1	11866268	11903201	CLCN6
1	11901074	11907741	NPPA-AS1
1	11905766	11907840	NPPA
1	11917521	11918988	NPPB
1	11968209	11968328	RNU5E-1
1	11979648	11986480	KIAA2013
1	11994810	12035594	PLOD1
1	12040369	12073565	MFN2
1	12079523	12092102	MIIP
1	12123434	12204264	TNFRSF8
1	12227060	12269285	TNFRSF1B
1	12251770	12251830	MIR4632
1	12290124	12572099	VPS13D
1	12567300	12567451	SNORA59A
1	12627939	12677737	DHRS3
1	12704566	12727097	AADACL4
1	12776146	12785963	AADACL3
1	12806163	12823847	C1orf158
1	12834984	12838049	PRAMEF12
1	12851546	12856777	PRAMEF1
1	12884468	12891264	PRAMEF11
1	12907261	12908578	HNRNPCL1
1	12916941	12921764	PRAMEF2
1	12939045	12946025	PRAMEF4
1	12952727	12958101	PRAMEF10
1	12976450	12980569	PRAMEF7
1	12998181	13007420	PRAMEF6
1	13035543	13038381	PRAMEF22
1	13052394	13052998	WI2-3308P17.2
1	13216356	13219581	PRAMEF26
1	13328196	13331692	PRAMEF3
1	13359819	13369057	PRAMEF5
1	13386646	13390765	PRAMEF8
1	13421176	13428191	PRAMEF9
1	13447414	13452656	PRAMEF13
1	13474689	13477522	PRAMEF18
1	13495254	13498260	PRAMEF16
1	13516066	13526943	PRAMEF21
1	13607431	13611550	XX-FW84067D5.1
1	13641973	13648988	PRAMEF15
1	13668743	13673511	PRAMEF14
1	13694889	13698405	PRAMEF19
1	13716092	13719089	PRAMEF17
1	13736907	13747803	PRAMEF20
1	13801445	13840543	LRRC38
1	13909960	13944452	PDPN
1	14031350	14151574	PRDM2
1	14925200	15444539	KAZN
1	15442449	15478960	TMEM51-AS1
1	15479028	15546973	TMEM51
1	15494970	15497813	C1orf195
1	15632276	15656094	FHAD1
1	15653176	15670372	RP3-467K16.2
1	15736391	15756839	EFHD2
1	15764935	15773149	CTRC
1	15783224	15798586	CELA2A
1	15802596	15817895	CELA2B
1	15818765	15850790	CASP9
1	15853308	15898228	DNAJC16
1	15898848	15911605	AGMAT
1	15943995	15995539	DDI2
1	15986364	15988217	RSC1A1
1	16010827	16061264	PLEKHM2
1	16062900	16067891	SLC25A34
1	16068917	16074477	TMEM82
1	16090994	16101737	FBLIM1
1	16160974	16174642	RP11-169K16.9
1	16174359	16266955	SPEN
1	16268364	16302621	ZBTB17
1	16330731	16335302	C1orf64
1	16340523	16345285	HSPB7
1	16348547	16360545	CLCNKA
1	16370272	16383803	CLCNKB
1	16384264	16400121	FAM131C
1	16450832	16482582	EPHA2
1	16481706	16483824	RP11-276H7.2
1	16524599	16539104	ARHGEF19
1	16542404	16543655	ANO7P1
1	16555368	16556038	C1orf134
1	16558195	16563657	RSG1
1	16573334	16678949	FBXO42
1	16693578	16724637	SZRD1
1	16725138	16763919	SPATA21
1	16767231	16786572	NECAP2
1	16793931	16819196	CROCCP3
1	16840617	16840780	RNU1-1
1	16865561	16866070	FAM231B
1	16888814	16939982	NBPF1
1	16956165	16971178	CROCCP2
1	16972069	16976914	MST1P2
1	16993280	16993443	RNU1-3
1	16999498	17000007	FAM231A
1	17017713	17046652	ESPNP
1	17060447	17060956	FAM231C
1	17248445	17299474	CROCC
1	17067011	17067174	RNU1-4
1	17185444	17185516	MIR3675
1	17197440	17200574	U1
1	17222475	17222638	RNU1-2
1	17300997	17307330	MFAP2
1	17312453	17338267	ATP13A2
1	17345217	17380665	SDHB
1	17393256	17445930	PADI2
1	17516278	17524112	RP11-380J14.1
1	17531621	17572500	PADI1
1	17575593	17610728	PADI3
1	17604384	17604470	MIR3972
1	17634692	17690499	PADI4
1	17655507	17676070	AC004824.2
1	17733256	17766220	RCC2
1	17866330	18024364	ARHGEF10L
1	18081808	18153558	ACTL8
1	18392151	18400906	RP11-174G17.2
1	18434240	18704976	IGSF21
1	18807424	18812478	KLHDC7A
1	18957500	19062632	PAX7
1	19166093	19186176	TAS1R2
1	19197926	19229275	ALDH4A1
1	19209696	19209769	MIR4695
1	19223565	19223642	MIR1290
1	19230775	19283180	IFFO2
1	19401000	19536770	UBR4
1	19536995	19567198	RP1-43E13.2
1	19542158	19578046	EMC1
1	19578033	19586622	MRTO4
1	19592478	19600568	AKR7L
1	19609052	19615744	AKR7A3
1	19630459	19638640	AKR7A2
1	19638822	19655774	PQLC2
1	19665317	19811979	CAPZB
1	19923473	19984549	MINOS1-NBL1
1	19923484	19956314	MINOS1
1	19934608	19935062	RPS14P3
1	19969726	19983622	NBL1
1	19991780	20006055	HTR6
1	20008706	20126410	TMCO4
1	20140523	20141771	RNF186
1	20209006	20239438	OTUD3
1	20246502	20250110	PLA2G2E
1	20301931	20306909	PLA2G2A
1	20396701	20417661	PLA2G5
1	20438432	20446050	PLA2G2D
1	20465819	20476879	PLA2G2F
1	20487746	20503917	PLA2G2C
1	20510735	20512979	UBXN10-AS1
1	20512578	20522541	UBXN10
1	20617412	20680756	VWA5B1
1	20687072	20755275	LINC01141
1	20808884	20812713	CAMK2N1
1	20825943	20834654	MUL1
1	20878932	20881512	FAM43B
1	20915441	20945401	CDA
1	20959948	20978004	PINK1
1	20969150	20978686	PINK1-AS
1	20978270	20988000	DDOST
1	20990509	21044510	KIF17
1	21048021	21059029	SH2D5
1	21069154	21113181	HP1BP3
1	21132976	21503343	EIF4G3
1	21314807	21314925	MIR1256
1	21546352	21616982	ECE1
1	21619783	21626267	RP5-1071N3.1
1	21766631	21811392	NBPF3
1	21835865	21904905	ALPL
1	21922708	21978348	RAP1GAP
1	22005072	22110099	USP48
1	22138758	22151714	LDLRAD2
1	22148738	22263790	HSPG2
1	22303514	22315837	CELA3B
1	22328149	22339015	CELA3A
1	22350487	22351461	RP1-224A6.3
1	22352027	22357716	LINC00339
1	22379161	22419437	CDC42
1	22443798	22469459	WNT4
1	22592732	22592793	MIR4418
1	22778344	22857650	ZBTB40
1	22890057	22930087	EPHA8
1	22962999	22966101	C1QA
1	22970126	22974603	C1QC
1	22979682	22988029	C1QB
1	23037463	23240763	EPHB2
1	23046010	23046091	MIR4684
1	23189652	23189719	MIR4253
1	23279536	23291831	LACTBL1
1	23337327	23342343	C1orf234
1	23345986	23410181	KDM1A
1	23370798	23370865	MIR3115
1	23384351	23384427	MIR4419A
1	23410523	23504301	LUZP1
1	23518388	23521222	HTR1D
1	23636276	23670803	HNRNPR
1	23685941	23695935	ZNF436
1	23695729	23698275	C1orf213
1	23707554	23751233	TCEA3
1	23755056	23810671	ASAP3
1	23832922	23857712	E2F2
1	23884409	23886285	ID3
1	23953824	23967058	MDS2
1	24018269	24022915	RPL11
1	24069645	24088549	TCEB3
1	24086872	24104777	RP5-886K2.3
1	24104895	24114722	PITHD1
1	24117460	24122029	LYPLA2
1	24122090	24126892	GALE
1	24128375	24151949	HMGCL
1	24171567	24194784	FUCA1
1	24197017	24285549	CNR2
1	24255560	24255637	MIR378F
1	24286302	24289952	PNRC2
1	24296854	24306809	SRSF10
1	24382527	24438665	MYOM3
1	24446261	24469611	IL22RA1
1	24480647	24513751	IFNLR1
1	24526730	24538183	RP11-10N16.2
1	24645915	24690972	GRHL3
1	24683489	24741587	STPG1
1	24742284	24795797	NIPAL3
1	24829387	24867530	RCAN3
1	24865292	24882515	RP4-594I10.3
1	24882602	24935816	NCMAP
1	24969503	24999758	SRRM1
1	25071848	25170815	CLIC4
1	25226002	25291501	RUNX3
1	25349994	25350077	MIR4425
1	25549170	25558984	SYF2
1	25568728	25574010	C1orf63
1	25598884	25656936	RHD
1	25664408	25688852	TMEM50A
1	25688740	25747336	RHCE
1	25757411	25826700	TMEM57
1	25870071	25895377	LDLRAP1
1	25943959	26112698	MAN1C1
1	26126667	26144713	SEPN1
1	26146684	26159429	MTFR1L
1	26145212	26147288	AL020996.1
1	26160497	26185903	AUNIP
1	26187701	26197744	PAQR7
1	26211931	26232957	STMN1
1	26232853	26232945	MIR3917
1	26286258	26324648	PAFAH2
1	26348271	26362955	EXTL1
1	26364513	26372624	SLC30A2
1	26377795	26394124	TRIM63
1	26438328	26452034	PDIK1L
1	26485511	26489119	FAM110D
1	26496362	26498551	ZNF593
1	26503894	26516377	CNKSR1
1	26517052	26529459	CATSPER4
1	26536232	26554331	RP11-231P20.2
1	26560693	26605299	CEP85
1	26605667	26608007	SH3BGRL3
1	26608775	26644854	UBXN11
1	26644448	26647014	CD52
1	26648350	26670576	AIM1L
1	26688126	26699266	ZNF683
1	26737269	26756213	LIN28A
1	26758846	26797785	DHDDS
1	26799010	26802463	HMGN2
1	26845845	26846741	DPPA2P2
1	26872343	26900767	RPS6KA1
1	26881033	26881084	MIR1976
1	27022524	27108595	ARID1A
1	27114686	27124884	PIGV
1	27153201	27184092	ZDHHC18
1	27189633	27190947	SFN
1	27202624	27216788	GPN2
1	27216980	27226957	GPATCH3
1	27248217	27273353	NUDC
1	27237980	27240457	NR0B2
1	27276053	27286897	C1orf172
1	27320198	27327389	TRNP1
1	27331511	27339327	FAM46B
1	27425306	27481401	SLC9A1
1	27561159	27634735	WDTC1
1	27648651	27662891	TMEM222
1	27651710	27651816	RNU6-48P
1	27671364	27680421	SYTL1
1	27681680	27693383	MAP3K6
1	27695603	27701315	FCN3
1	27705666	27709793	CD164L2
1	27719148	27722318	GPR3
1	27730730	27816669	WASF2
1	27860814	27930143	AHDC1
1	27938575	27961788	FGR
1	27992575	27998689	IFI6
1	28052568	28087092	FAM76A
1	28099694	28150963	STX12
1	28157289	28178187	PPP1R8
1	28160912	28161077	SCARNA1
1	28177085	28177255	AL109927.1
1	28199079	28213184	THEMIS2
1	28218035	28241254	RPA2
1	28261504	28285668	SMPDL3B
1	28285973	28294607	XKR8
1	28296855	28415207	EYA3
1	28473677	28503699	PTAFR
1	28527068	28559536	DNAJC8
1	28527013	28527152	AL353354.1
1	28527070	28527419	AL353354.2
1	28562644	28564611	ATPIF1
1	28586038	28609002	SESN2
1	28655549	28662476	MED18
1	28764682	28826820	PHACTR4
1	28844769	28864676	RCC1
1	28832863	28836145	SNHG3
1	28835071	28835274	SNORA73B
1	28879597	28905051	TRNAU1AP
1	28905051	28908383	SNHG12
1	28905261	28905334	SNORD99
1	28929613	28969517	TAF12
1	28918712	28921955	RAB42
1	28975112	28975245	RNU11
1	28995292	29041385	GMEB1
1	29063271	29096287	YTHDF2
1	29138654	29190208	OPRD1
1	29213603	29446532	EPB41
1	29445946	29449013	TMEM200B
1	29474255	29508499	SRSF4
1	29520329	29557444	MECR
1	29563028	29652173	PTPRU
1	29656132	29676626	RP3-437I16.1
1	30486799	30510459	RP11-111I12.1
1	31184124	31196434	MATN1
1	31191619	31199674	MATN1-AS1
1	31205316	31230667	LAPTM5
1	31212003	31212079	MIR4420
1	31331005	31333101	RP1-65J11.5
1	31345982	31381608	SDC3
1	31405673	31538542	PUM1
1	31408535	31408620	SNORD103A
1	31421964	31422049	SNORD103B
1	31441011	31441083	SNORD85
1	31652592	31712401	NKAIN1
1	31732417	31769617	SNRNP40
1	31769855	31837783	ZCCHC17
1	31838472	31845923	FABP3
1	31882412	31907524	SERINC2
1	31902192	31902614	AC114494.1
1	31971841	31974167	RP11-439L8.3
1	31984036	31989846	RP11-439L8.4
1	32042136	32053287	TINAGL1
1	32083301	32092919	HCRTR1
1	32095463	32110488	PEF1
1	32117848	32169920	COL16A1
1	32192718	32229636	BAI2
1	32224261	32224336	MIR4254
1	32256025	32281652	SPOCD1
1	32372022	32403988	PTP4A2
1	32379174	32380745	AL136115.1
1	32479430	32509483	KHDRBS1
1	32538503	32568462	TMEM39B
1	32552550	32552608	MIR5585
1	32573639	32642169	KPNA6
1	32645666	32663886	TXLNA
1	32665987	32670988	CCDC28B
1	32671236	32674288	IQCC
1	32674695	32681797	DCDC2B
1	32681798	32687926	TMEM234
1	32687971	32697205	EIF3I
1	32697261	32707221	MTMR9LP
1	32712834	32714457	FAM167B
1	32716840	32751766	LCK
1	32757687	32799236	HDAC1
1	32799433	32801980	MARCKSL1
1	32827798	32829913	TSSK3
1	32826871	32827844	FAM229A
1	32832078	32860031	BSDC1
1	32930670	32962287	ZBTB8B
1	33005028	33071540	ZBTB8A
1	33086421	33116185	ZBTB8OS
1	33116749	33151812	RBBP4
1	33145961	33168720	SYNC
1	33207486	33240571	KIAA1522
1	33240840	33283754	YARS
1	33283156	33324476	S100PBP
1	33327870	33336414	FNDC5
1	33352036	33360247	HPCA
1	33360196	33366959	TMEM54
1	33402046	33430286	RNF19B
1	33439268	33439642	FKSG48
1	33478645	33502593	AK2
1	33546714	33585995	ADC
1	33611003	33647267	TRIM62
1	33722174	33766320	ZNF362
1	33772367	33786699	A3GALT2
1	33789227	33841194	PHC2
1	33797994	33798093	MIR3605
1	33815953	33828846	RP11-415J8.5
1	33938246	33962107	ZSCAN20
1	33979609	34631443	CSMD2
1	34326101	34330392	HMGB4
1	34334554	34351059	RP5-1007G16.1
1	34643271	34684732	C1orf94
1	35135200	35135295	MIR552
1	35318270	35325417	SMIM12
1	35220648	35224113	GJB5
1	35225342	35229325	GJB4
1	35246790	35251965	GJB3
1	35258599	35261348	GJA4
1	35331037	35395186	DLGAP3
1	35441300	35444307	RP11-244H3.1
1	35447134	35497342	RP11-244H3.4
1	35447136	35450954	ZMYM6NB
1	35452581	35497569	ZMYM6
1	35544992	35581460	ZMYM1
1	35648533	35658749	SFPQ
1	35734568	35887545	ZMYM4
1	35899091	36023014	KIAA0319L
1	36023409	36032374	NCDN
1	36038971	36060929	TFAP2E
1	36067185	36107445	PSMB2
1	36179476	36185073	C1orf216
1	36202006	36235529	CLSPN
1	36273773	36323491	AGO4
1	36348810	36395211	AGO1
1	36396679	36538101	AGO3
1	36549676	36553876	TEKT2
1	36554476	36559533	ADPRHL2
1	36560837	36590821	COL8A2
1	36602173	36615070	TRAPPC3
1	36621803	36646441	MAP7D1
1	36690017	36770958	THRAP3
1	36771994	36786948	SH3D21
1	36787632	36789755	EVA1B
1	36789335	36794822	RP11-268J15.5
1	36805225	36851485	STK40
1	36859031	36863493	LSM10
1	36883507	36916052	OSCP1
1	36921319	36930038	MRPS15
1	36931644	36948879	CSF3R
1	37261128	37499726	GRIK3
1	37627164	37627235	MIR4255
1	37920480	37940012	LINC01137
1	37940153	37949980	ZC3H12A
1	37958176	37980364	MEAF6
1	37966536	37966595	MIR5581
1	38000050	38019903	SNIP1
1	38022520	38032458	DNALI1
1	38032417	38061522	GNL2
1	38076951	38100491	RSPO1
1	38147242	38156192	C1orf109
1	38158090	38175391	CDCA8
1	38181646	38230738	EPHA10
1	38259474	38266805	MANEAL
1	38268616	38273857	YRDC
1	38273818	38275126	C1orf122
1	38275239	38325292	MTF1
1	38292232	38293886	AL929472.1
1	38327757	38412723	INPP5B
1	38422647	38456593	SF3A3
1	38462442	38471177	FHL3
1	38478414	38490496	UTP11L
1	38509523	38512450	POU3F1
1	38554903	38555001	MIR3659
1	38674706	38680439	RP11-214L19.1
1	39303870	39325495	RRAGC
1	39328636	39339777	MYCBP
1	39339739	39347289	GJA9
1	39351968	39392509	RHBDL2
1	39456895	39471731	AKIRIN1
1	39491990	39500308	NDUFS5
1	39549034	39952789	MACF1
1	39876151	39882154	KIAA0754
1	39957318	39991607	BMP8A
1	39987952	39991357	RP11-69E11.4
1	40026488	40042073	PABPC4
1	40033046	40033180	SNORA55
1	40089825	40105617	HEYL
1	40124793	40137710	NT5C1A
1	40144320	40157361	HPCAL4
1	40204573	40229586	PPIE
1	40222854	40254533	BMP8B
1	40235195	40237020	OXCT2
1	40306723	40349178	TRIT1
1	40361098	40367685	MYCL
1	40420822	40435638	MFSD2A
1	40505905	40538321	CAP1
1	40538379	40563375	PPT1
1	40627045	40706593	RLF
1	40713573	40717363	TMCO2
1	40723779	40759856	ZMPSTE24
1	40766159	40782966	COL9A2
1	40839369	40888998	SMAP2
1	40915779	40929390	ZFP69B
1	40942887	40962015	ZFP69
1	40974419	40981709	EXO5
1	40997233	41013841	ZNF684
1	41086351	41131329	RIMS3
1	41156052	41157738	NFYC-AS1
1	41157388	41236811	NFYC
1	41220027	41220118	MIR30E
1	41222956	41223044	MIR30C1
1	41249684	41306124	KCNQ4
1	41326729	41328018	CITED4
1	41445007	41478235	CTPS1
1	41481269	41488909	SLFNL1
1	41492872	41627104	SCMH1
1	41827594	41849262	FOXO6
1	41944446	41950342	EDN2
1	41972036	42384169	HIVEP3
1	42619092	42621495	GUCA2B
1	42628362	42630389	GUCA2A
1	42642210	42800636	FOXJ3
1	42846477	42888249	RIMKLA
1	42896000	42921938	ZMYND12
1	42922230	42926085	PPCS
1	42929025	43119852	CCDC30
1	43124096	43142429	PPIH
1	43148098	43168020	YBX1
1	43198764	43205925	CLDN19
1	43212046	43232683	LEPRE1
1	43232940	43241418	C1orf50
1	43272727	43282923	CCDC23
1	43282802	43310654	ERMAP
1	43312307	43317598	ZNF691
1	43391052	43424501	SLC2A1
1	43424775	43442099	SLC2A1-AS1
1	43613623	43622067	FAM183A
1	43629846	43638241	EBNA1BP2
1	43638001	43676549	WDR65
1	43735696	43739673	TMEM125
1	43747554	43751250	C1orf210
1	43766664	43788779	TIE1
1	43803478	43818443	MPL
1	43824684	43828874	CDC20
1	43829068	43833689	ELOVL1
1	43849588	43855479	MED8
1	43855640	43918304	SZT2
1	43913447	43914315	SZT2-AS1
1	43916824	43919660	HYI
1	43996547	44089337	PTPRF
1	44115829	44171186	KDM4A
1	44173218	44396830	ST3GAL3
1	44175063	44193014	RP11-184I16.4
1	44398992	44402911	ARTN
1	44410046	44412223	RP11-7O11.3
1	44412611	44433694	IPO13
1	44435676	44439041	DPH2
1	44440320	44443966	ATP6V0B
1	44445659	44456151	B4GALT2
1	44457280	44462200	CCDC24
1	44463200	44482997	SLC6A9
1	44584522	44600812	KLF17
1	44679163	44686353	DMAP1
1	44686742	44820880	ERI3
1	44709080	44709945	ERI3-IT1
1	44870866	45117395	RNF220
1	45011165	45011224	MIR5584
1	45118919	45140227	TMEM53
1	45140385	45191263	C1orf228
1	45187458	45187574	RNU5F-1
1	45196727	45196842	RNU5D-1
1	45205492	45233439	KIF2C
1	45241109	45244451	RPS8
1	45241536	45241615	SNORD55
1	45242162	45242265	SNORD46
1	45243515	45243584	SNORD38A
1	45249257	45253377	BEST4
1	45265897	45271662	PLK3
1	45271588	45272957	TCTEX1D4
1	45274154	45279801	BTBD19
1	45287605	45308735	PTCH2
1	45316450	45452282	EIF2B3
